action,keywords,parent,description,title,application_type
biologics_isr_minimize,"implicit solvent refinement, refinement",,,Minimize...,Biologics
biologics_isr_minimize_rigid,"implicit solvent refinement, refinement",,,Rigid Body Minimization...,Biologics
biologics_isr_refine_complex,"implicit solvent refinement, refinement",,,Refine Protein-Ligand Complex...,Biologics
biologics_isr_visualize_energy,"implicit solvent refinement, refinement",,,Visualize Energy...,Biologics
biologics_lnma_calculate,"low normal mode analysis, NMA, Normal Mode",,,Calculate Vibrational Modes...,Biologics
biologics_lnma_visualize,"low normal mode analysis, NMA",,,Visualize Vibrational Modes...,Biologics
biologics_peptide_docking,"dock, docking, Glide, GOLD, Amino Acid, peptide, peptidomimetic, NNAA/NSAA",,,Peptide Docking...,Biologics
biologics_peptide_qsar,"Amino Acid, peptide, NNAA/NSAA",,,Peptide QSAR...,Biologics
biologics_predict_side_chains,,,,Predict Side Chains...,Biologics
biologics_prepwizard_gui,,,,Protein Preparation Workflow...,Biologics
biologics_protein_descriptors_calc,,,,Calculate Protein Descriptors...,Biologics
biologics_protein_interaction_analysis,"dimer, interaction, interface, multimer, aggregation, hbond",,,,
biologics_protein_protein_docking,"dock, docking, Glide, GOLD, piper, Piper, Protein Protein, protein protein docking",,,Protein-Protein Docking...,Biologics
biologics_protein_titration_curve,pKa,,,Protein Titration Curve...,Biologics
biologics_reactive_residues,"residue mutation, reactive",,,Reactive Residues...,Biologics
biologics_refine_loops,,,,Refine Loops...,Biologics
biologics_reliability_report,"report, quality, protein quality",,,Structure Reliability Report...,Biologics
biologics_residue_analysis,"residue mutation, Amino Acid, NNAA/NSAA",,,Residue Analysis...,Biologics
biologics_residue_loop_mutation,residue mutation,,,Residue and Loop Mutation...,Biologics
biologics_rsam_calculate,"residue scanning, affinity maturation, Amino Acid, alanine scanning, hot spots, protein stability, mutate, protein design, NNAA/NSAA",,,MM-GBSA Residue Scanning Calculations...,Biologics
biologics_rsam_manage_nsr,"residue scanning, affinity maturation, modified amino acids, Amino Acid, alanine scanning, hot spots, protein stability, mutate, protein design, NNAA/NSAA",,,Nonstandard Residues...,Biologics
biologics_rsam_results,"residue scanning, affinity maturation, Amino Acid, alanine scanning, hot spots, protein stability, mutate, protein design, NNAA/NSAA",,,MM-GBSA Residue Scanning Results...,Biologics
biologics_structure_quality,"report, quality, protein quality",,,Structure Quality Report...,Biologics
boltzmann_average_gui.panel,"QM, quantum mechanics, VCD, ECD, IR, Infrared, Raman, dichroism, UV/vis, NMR, nuclear magnetic resonance, spectroscopy, Jaguar",,"<!-- c13 -->
Calculate conformationally-averaged VCD, ECD, or NMR spectra for a molecule.<br/>Opens the Jaguar Spectroscopy Panel.<!-- Circular Dichroism Workflow panel-->",Spectroscopy Workflows...,Quantum Mechanics
boltzmann_gui.panel,,,Calculate the Boltzmann populations of a set of structures at a specified temperature according to a specified energy property.<br/>Opens the Boltzmann Populations panel.,,
bond_dissociation,"QM, quantum mechanics",,,Bond and Ligand Dissociation...,Quantum Mechanics
bond_dissociation_gui.panel,,,"Calculate the change in energy for dissociating one or more molecules into all possible or restricted combinations of two fragments that come from breaking covalent, non-ring single bonds (homolytic dissociation) or removing ligands from a metal atom.",,
breed.panel,,,Generate new ligand structures from a set of aligned ligands by swapping groups whose bonds overlap. The swapping can be done multiple times.<br/>Opens the Breed panel.,,
build:Atom Properties,,,"Modify atom properties, such as element, atom type, partial charge.<br/>Opens the Build Panel at the Atom Properties tab.",,
build:Build Toolbar,,,Display the Build toolbar in the main window.,,
build:Fragments,,,"Add molecular fragments to a structure, or place them in the Workspace. <br/>Opens the Build Panel at the Fragments tab.",,
build:Fragments Toolbar,,,Display the Fragments toolbar in the main window.,,
build:Residue Properties,,,"Modify residue properties, such as residue type and residue number. Opens the Build Panel at the Residue Properties tab.",,
build_breed_ligand_creation,"building, hybridization",,,BREED Ligand Creation...,Enumeration and Ideation
build_combine_fragments,"building, fragment, linking",,,Combine Fragments...,Enumeration and Ideation
build_crystal_structure,"crystal structure, crystallography",,,,
build_slabs,interface,,,,
calcprop,,,Add a variety of calculated structure-based properties to the selected entries. Opens the Calculate Properties panel.,,
calculate_boltzman_pop,small molecule analysis,,,Calculate Boltzmann Populations...,Structure Analysis
calculate_pmi,,,,Principal Moments of Inertia,Project Table and Project Operations
calculate_pmi.run,,,Calculate the principal moments of inertia and their ratios for the selected entries and store them as entry properties.,,
canvas_cluster_gui.panel,,,"Cluster the selected entries in the Project Table, based on a similarity metric derived from fingerprints.<br/>Opens the Canvas Similarity and Clustering panel.",,
canvas_similarity,"cheminformatics, clustering, fingerprint",,,Fingerprint Similarity...,Ligand-Based Virtual Screening
canvas_som_gui.panel,SOM,,Create and apply self-organizing maps from fingerprints or properties of a set of structures.<br/>Opens the Self-Organizing Map Panel.,Self-Organizing Map...,Discovery Informatics and QSAR
cdr_grafting_gui.panel,,,"<!-- CDR grafting, replacement -->Replace the framework region of an antibody CDR structure with one derived from a human source. Identify residues in the vicinity of the resulting framework/hypervariable loop junction that may interfere with the conformation of the CDR loops and which should be examined for back mutation.<br/>Opens the Antibody Humanization: CDR Grafting panel.",,
centroids,,,Place a dummy atom at the centroid of a set of atoms.<br/>Opens the Centroids panel.,,
change_directory,,,"Change Maestro's working directory, using a directory chooser. You can also change the directory in the Commands text box with the <code>changedirectory</code> Maestro command.",,
charge_mobility_gui.panel,,,Calculate charge mobility from the results of an electron coupling calculation by percolation theory or by a method based on energy disorder.<br/>Opens the Charge Mobility panel.,,
cleanup_geometry,,,"Clean up the geometry of the Workspace structure by minimizing its energy. By default the OPLS_2005 force field is used. If this does not include the atoms you need to minimize, you can set a preference to use the UFF force field, which covers a wider range of atoms but is slower.<br/>
Keyboard shortcut: U.",,
cleanup_structures_gui.panel,,,"Perform force-field minimization of structures, both periodic and nonperiodic.<br/>Opens the Clean Up Structures panel.",,
cluster_analysis_gui.panel,,,Analyze the geometrical properties and size distribution of molecular clusters from a trajectory as a function of simulation time.<br/>Opens the Cluster Analysis Panel.,,
cluster_analysis_viewer_gui.panel,,,Display plots of surfactant cluster properties as a function of time and cluster compositions<br/>Opens the Cluster Analysis Viewer Panel.,,
cm_10,,,Display atoms in adjacent unit cells (&quot;crystal mates&quot;) that are within 10&nbsp;&Aring; of the current unit cell.,,
cm_4,,,Display atoms in adjacent unit cells (&quot;crystal mates&quot;) that are within 4&nbsp;&Aring; of the current unit cell.,,
cm_6,,,Display atoms in adjacent unit cells (&quot;crystal mates&quot;) that are within 6&nbsp;&Aring; of the current unit cell.,,
cm_8,,,Display atoms in adjacent unit cells (&quot;crystal mates&quot;) that are within 8&nbsp;&Aring; of the current unit cell.,,
cm_all,,,Display all atoms in the 26 unit cells (&quot;crystal mates&quot;) that are adjacent to the current unit cell.,,
cm_none,,,Hide atoms in the adjacent unit cells.,,
coarse_grain_ff_assignment_gui.panel,coarse grain,,"<!-- CG -->
Assign force-field parameters to a coarse-grained model and create the Desmond CMS file for running a molecular dynamics simulation with this model.<br/>Opens the Coarse-Grained Force Field Assignment panel.",,
coarse_grain_ff_builder_gui.panel,,,"<!-- CG -->
Build a coarse-grained force field from an all-atom system, by fitting parameters for coarse-grained simulations to reproduce all-atom simulations.<br/>Opens the Coarse-Grained Force Field Builder Panel.",,
coarse_grain_ff_builder_viewer_gui.panel,,,"<!-- CG -->
View the results of a coarse-grained forcefield builder calculation.<br/>Opens the Coarse-Grained Force Field Viewer Panel.",,
coarse_grain_import_structures_gui.panel,,,"<!-- CG -->
Import coarse-grained molecules from the installation that are set up for use with the Martini force field, as project entries. These entries can be used to build coarse-grained systems.<br/>Opens the Import Martini Coarse-Grained Structures panel.",,
coarse_grain_mapping_gui.panel,,,Map atoms to coarse-grained particles given an all-atom system.<br/>Opens the Coarse-Grained Mapping Panel.,,
coarse_grain_particulate_gui.panel,coarse grain,,"<!-- CG -->
Iteratively select groups of atoms in a structure and specify them as coarse-grained particles for molecular dynamics simulations, then generate a project entry with the coarse-grained model.<br/>Opens the Map Atoms to Particles panel.",,
coarse_grain_sketcher_gui,coarse grain,,,,
coarse_grain_sketcher_gui.panel,,,"<!-- CG -->
Sketch a coarse-grained structure using spherical particles that you define, and save it as a project entry.<br/>Opens the Coarse-Grained Sketcher panel.",,
color_by_difference,"small molecule analysis, difference",,,Color by Difference,Structure Analysis
color_by_property,,,,Color by Entry Property...,Project Table and Project Operations
color_by_property_gui.panel,,,Color the atoms in the included or selected entries depending on the values of the selected entry property. <br/>Opens the Color by Property panel.,,
color_deviation.colordeviation,,,"Color the atoms of two conformers, selected in the Project Table, by the distances between corresponding atoms.",,
color_relative,,,,Color by Relative Energy,Project Table and Project Operations
color_relative.color_relative,,,"Color the selected rows in the Project Table by their relative energy, defined by a MacroModel relative energy property.",,
coloratom,,,Change the coloring of atoms and bonds. <br/>Opens the Atom and Bond Coloring panel.,,
combine_fragments_gui.panel,,,"Combine pre-positioned fragments into a single molecule, optionally using linkers and a core, scoring the results by alignment and GlideScore.<br/>Opens the Combine Fragments panel.",,
command_aliases,,,Create and edit aliases for commonly used Maestro commands.<br/>Opens the Command Alias panel.,,
command_script_editor,,,Edit and replay a Maestro command script.<br/>Opens the Command Script Editor panel.,,
compare_ligand_files,"small molecule analysis, difference",,,Compare Ligand Files...,Structure Analysis
compare_ligand_files_gui.panel,,,"Compare two sets of structures by title, SMILES, or tautomer, and return the unique or common structures from either or both sets.<br/>Opens the Compare Ligand Files panel.",,
complex_bilayer_builder_gui.panel,,,...<br/>Opens the Complex Bilayer Builder Panel.,,
complex_builder_gui.panel,,,"Build a single organometallic complex with one or two metal centers, with any geometry from 2-coordinate (linear) to 9-coordinate (tricapped trigonal prismatic).<br/>Opens the Build Single Complex panel.",,
complex_enumeration_gui.panel,,,"Enumerate metal complexes defined by a central metal and a specified number of ligands. The ligands can be monodentate, bidentate, or haptic. Complexes can be composed of any combination of ligands of any type.<br/>Opens the Complex Enumeration panel",,
conf_search_advanced,"conformer generation, confgen, conformation, conformational search",,,Advanced Search...,Structure Analysis
conf_search_bioactive,"conformer generation, confgen, conformation, conformational search",,,Bioactive Search...,Structure Analysis
conf_search_complex,"conformer generation, confgen, conformation, conformational search",,,Ligand-Receptor Complex...,Structure Analysis
conf_search_macrocycle,"conformer generation, confgen, conformation, conformational search, cyclic peptide, macrocycle, macrocycle conformational sampling, macrocycle conformational, macrocycle conformation, macrocycle conf, peptide, peptidomimetic, ring",,,Macrocycle Sampling...,Structure Analysis
conf_search_rce,"conformer generation, confgen, conformation, conformational search",,,Redundant Conformer Elimination...,Structure Analysis
confelim,,,"<!-- MacroModel, MMOD -->
Eliminate redundant conformers from a set of structures, based on atom distances and energy, and filter the conformers by energy. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the Redundant Conformer Elimination panel.",,
confgen,"conformer generation, confgen, conformation, conformational search",,,ConfGen...,Other Applications
confgenx_gui.panel,,,"<!-- ConfGen, conformational search, ring conformations, nitrogen inversion -->
Search for ligand conformations like those found in ligand-receptor complexes, with optional minimization of output structures.<br/>Opens the ConfGen panel.",,
confgenx_gui.panel_task,,confgenx_gui.panel,,,
config_gui.panel,,,"Configure access to Schr&ouml;dinger software: install, manage and set up access to licenses; set up and manage access to the hosts used to run the software.<br/>Opens the Configure Schrodinger Software panel.",,
configure_ws,,,Open the Workspace Configuration toolbox. Same as clicking the + button on the Workspace Configuration toolbar.,,
conformer_cluster_gui.panel,,,"Cluster conformers based on atomic or torsional RMSD of selected atoms, returning files for each cluster or a file of representatives.<br/>Opens the Conformer Cluster panel.",,
conformer_clustering,"cheminformatics, clustering, conformer",,,Clustering of Conformers...,Discovery Informatics and QSAR
connect,,,Combine molecules by connecting or fusing atoms.<br/>Opens the Connect and Fuse panel.,,
consensus_visualization_gui.panel,,,"<!-- homologs, structural water, superposition -->
Import a series of related protein structures, superimpose those structures, and identify structural elements that repeatedly appear in common locations, such as structurally important waters, ions, and ligands.<br/>Opens the Consensus Visualization panel.",,
constant_ph_simulations_gui.panel,,,"Run a series of MD simulations on a protein over a range of pH values with the continuous constant pH MD method, to determine pKa values for titratable residues.<br/>Opens the Protein Constant pH Simulations Panel.",,
convergence_tests_viewer_gui.panel,,,"<!-- qe -->
Display plots of the convergence of the periodic DFT energy with energy cutoff and number of k points.<br/>Opens the Convergence Tests Viewer panel.",,
coord_scan_relaxed,,jaguar_gui.relaxed_scan_panel,,,
coord_scan_rigid,,jaguar_gui.rigid_scan_panel,,,
core_hopping_isosteric_matching,"core hopping, scaffold hopping, scaffold, hop, r group, rgroup, r-group, ring swap, bioisoster",,,Isosteric Matching...,Lead Optimization
core_hopping_ligand,"core hopping, scaffold hopping, scaffold, hop, ring swap, bioisoster",,,Ligand-Based...,Lead Optimization
covalent_docking,"dock, docking, Glide, GOLD, covalent binding, covdock, warhead",,,Covalent Docking...,Receptor-Based Virtual Screening
covalent_docking_gui.panel,,,Dock and covalently bind ligands to a protein target.<br/>Opens the Covalent Docking panel.,,
create_pbc_gui.panel,,,Create simulation cells for a set of structures that do not have periodic boundary conditions.<br/>Opens the Create PBC Panel.,,
create_reagent_library_gui.panel,,,,Create Reactant Library...,Enumeration and Ideation
create_screening_database,,,,Create Screening Database...,Ligand-Based Virtual Screening
create_screening_db_gui,"screening, filtering",,,,
create_screening_db_gui.panel,,,"Create a database from a screening run, which can be used in the Hit Analyzer Panel.<br/>Opens the Create Screening Database Panel.",,
create_shape_data_file,"virtual screen, screening, ligand shape, ROCS, shape",,,Create Shape Data File (For GPU)...,Ligand-Based Virtual Screening
crest_gui.panel,,,Conformational search for small molecule using CREST<br/>Opens the CREST Panel.,,
cross_link_proteins_gui.panel,,,"<!-- crosslink, circular permutation -->
Cross-link two protein chains with a peptide linker connecting the termini. The linker can be composed of one or more monomer unit types, and each monomer unit can be composed of one or more user-specified amino acid types. The requested loop conformers are predicted using either known loop conformers in the curated PDB or using a de novo loop buildup process.<br/>Opens the Crosslink Proteins panel.",,
crosslink_polymer,,polymer_crosslink_gui.panel,,,
crystal_builder_gui.panel,,,"Create a crystal structure entirely from text data, such as data found in a publication, for example, or from a 3D structure and information on the unit cell.<br/>Opens the New Crystal Structure panel.",,
csd_search_gui.panel,,,"Display an analysis of ligand molecular geometries in terms of known geometries derived from the Cambridge Structural Database (CSD). The deviations of the molecular geometries from those found in the database are plotted in a ""bubble plot"" to give a visual indication of possible inaccuracies in the geometries.<br/>Opens the CSD - Molecular Geometry Analysis panel.",,
csearch,,,"<!-- MacroModel, MMOD, restraints, substructure -->
Perform a conformational search on one or more structures, with a choice of force fields, methods, sampling options, and constraints. Specialized searches are available elsewhere for macrocycles and receptor-ligand complexes. The MMFF and the OPLS series of force fields with various electrostatic treatments, including GB/SA, can be used.<br/>Opens the Conformational Search panel.",,
csp_gui.panel,,,"<!-- CSP -->
Predict possible crystal polymorphs and rank them by their energy.<br/>Opens the Crystal Structure Prediction Panel.",Crystal Structure Prediction...,Polymorph Prediction
csp_viewer_gui.panel,,,"<!-- CSP -->
View results from a crystal structure prediction calculation.<br/>Opens the Crystal Structure Prediction Viewer Panel.",Crystal Structure Prediction Analysis...,Polymorph Prediction
